sample_id,stratum,chapter,file,block_index,block_type,issue_types,severities,content_snippet,manual_is_acceptable,manual_content_accuracy,manual_structure_accuracy,manual_formula_table_accuracy,manual_issue_type,manual_notes
S0110,fatal_error,appendix4,data/structured/appendix4_017.json,0,discussion,tex_command_leak,error,"Sham and Purcell (2014) noted that one can rearrange Equation A4.15a to find the $ $ value to obtain a desired PER value of $ $, with $$ \begin{align*}\alpha=\left({\gamma\over1-\gamma}\right)\left({1-\pi_0\over\pi_0}\right)(1-\beta)\end{align*} $$",,,,,,
S0111,warning,chapter12,data/structured/chapter12_004.json,11,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0112,warning,chapter12,data/structured/chapter12_009.json,6,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0113,warning,chapter21,data/structured/chapter21_038.json,9,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0114,warning,chapter29,data/structured/chapter29_036.json,2,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0115,warning,chapter23,data/structured/chapter23_009.json,5,discussion,placeholder_in_discussion,warning,"[[TABLE:23.1]]. As a comparison of [[SEE_TABLE:23.1]] with its random-mating counterpart ([[SEE_TABLE:21.5]]) shows, for half-sibs, that the selection response when using inbred parents $ (f > 0) $ is greater than when using outbred parents ($f=0$). This is...",,,,,,
S0116,warning,chapter30,data/structured/chapter30_046.json,2,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0117,warning,chapter24,data/structured/chapter24_012.json,5,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0118,warning,chapter23,data/structured/chapter23_023.json,1,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0119,warning,appendix4,data/structured/appendix4_027.json,3,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0120,warning,chapter7,data/structured/chapter7_006.json,11,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0121,warning,chapter20,data/structured/chapter20_030.json,2,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0122,warning,chapter25,data/structured/chapter25_020.json,1,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0123,warning,chapter12,data/structured/chapter12_023.json,5,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0124,warning,appendix5,data/structured/appendix5_005.json,4,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0125,warning,chapter17,data/structured/chapter17_009.json,0,discussion,placeholder_in_discussion,warning,"Estimates of $ \sigma^{2}(A_{v}) $ under any of the models for $ \sigma_{E}^{2} $ reviewed in [[SEE_TABLE:17.1]] are obtained using fairly complicated likelihood functions on data from sets of relatives; see SanCristobal-Gaudy et al. (1998, 2001), Sorensen...",,,,,,
S0126,warning,chapter29,data/structured/chapter29_015.json,5,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0127,warning,chapter9,data/structured/chapter9_060.json,1,discussion,placeholder_in_discussion,warning,"Starting with the advent of dense-SNP maps and continuing as whole-genome sequencing became economically feasible, candidate-gene studies were replaced by genomic scans, searching the genome without any preconception of what sites might be under selection....",,,,,,
S0128,warning,chapter25,data/structured/chapter25_021.json,4,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0129,warning,chapter24,data/structured/chapter24_014.json,6,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0130,warning,chapter8,data/structured/chapter8_016.json,3,discussion,h_only_block;very_short_block,error;warning,[h],,,,,,
S0131,ocr_disagreement_chapter,chapter4,data/structured/chapter4_004.json,1,discussion,,,"By rearranging, it can be seen that Equation 4.3a relates directly to the expected site-frequency spectrum for a sample under drift-mutation equilibrium with a known value of $ \theta $ (Equation 2.35a). A central point here is that when the nucleotide site...",,,,,,
S0132,ocr_disagreement_chapter,chapter28,data/structured/chapter28_042.json,2,discussion,,,"Turning to $ \mu $, as noted by Turelli (1984), the “typical” value of $ 10^{-6} $ to $ 10^{-5} $ for the mutation rate at a locus is based on alleles of large effect. One might easily imagine a higher mutation rate to alleles of smaller effect. Why is that...",,,,,,
S0133,ocr_disagreement_chapter,chapter29,data/structured/chapter29_040.json,1,derivation,,,"Translating Bernoulli components of fitness into a fitness surface requires a model of how p varies with trait value, z (or more generally, a set of trait values represented by the vector, z). A natural choice is the logistic regression model (Janzen and St...",,,,,,
S0134,ocr_disagreement_chapter,chapter25,data/structured/chapter25_027.json,2,discussion,,,"If we let $ \hat{p} $ denote the equilibrium frequency of B in the zygotes at the start of the next generation (before natural selection), by rearranging Equation 25.14, it follows that $$ q(1+p)p^{\prime\prime}=p\Pr(U>T^{*}-a/\sigma) $$",,,,,,
S0135,ocr_disagreement_chapter,chapter10,data/structured/chapter10_017.json,0,derivation,,,"It was quickly realized that DPRS tables offer much more than simply an opportunity to test for selection (Sawyer and Hartl 1992; Charlesworth 1994b; Fay et al. 2001, 2002; Smith and Eyre-Walker 2002). A neutrality index < 1 indicates that the observed numb...",,,,,,
S0136,ocr_disagreement_chapter,chapter30,data/structured/chapter30_028.json,6,discussion,,,"Siepielski et al. (2011) examined how the temporal strength of selection varied over different fitness components (viability, mating success, and fecundity). The temporal variation among variance-standardized gradients was highest for mating success and rou...",,,,,,
S0137,ocr_disagreement_chapter,chapter4,data/structured/chapter4_017.json,4,discussion,,,"Nachman and Crowell (2000) used this approach to obtain an estimate of the mutation rate for humans from sequences of 12 unexpressed pseudogenes in human and chimpanzee. Because they are nontranscribed, such stretches of DNA are expected to fulfill the assu...",,,,,,
S0138,ocr_disagreement_chapter,chapter19,data/structured/chapter19_028.json,2,discussion,,,"(iii) Update the additive variance by drawing from the conditional (a scaled inverse- $ \chi^{2} $ distribution) $$ \sigma_{A,i}^{2}\sim p(\sigma_{A}^{2}\mid\boldsymbol{\beta}_{i},\mathbf{a}_{i},\sigma_{e,i-1}^{2}) $$",,,,,,
S0139,ocr_disagreement_chapter,chapter22,data/structured/chapter22_009.json,9,discussion,,,"Example 22.3. Consider a trait in a group of 10 unrelated individuals, with $ \sigma^2(P_d) = 10 $, $ \sigma^2(P_s) = 1 $, and both direct and associative effects having modest heritabilities on the scale of the effects themselves ($ h_{d'}^2 = 0.4 $, $ h_{...",,,,,,
S0140,ocr_disagreement_chapter,chapter26,data/structured/chapter26_001.json,0,discussion,,,It is almost impossible with any brevity to exemplify the notion of adaptation. Fisher (1934),,,,,,
S0141,ocr_disagreement_chapter,chapter6,data/structured/chapter6_022.json,4,derivation,,,"The last term can be expressed as either $ \beta_{x|z}\sigma(y,z) $ or $ \beta_{y|z}\sigma(x,z) $. Applying Equation 6.33d by taking $ x = w $ and $ y = \overline{z} $ yields [[SEE_FORMULA:6.33e]]",,,,,,
S0142,ocr_disagreement_chapter,chapter18,data/structured/chapter18_018.json,7,discussion,,,"Components of reproductive fitness, such as fecundity and development time, are expected to have asymmetric allele frequencies, as natural selection increases the frequency of alleles increasing fitness. This condition suggests that asymmetric responses in...",,,,,,
S0143,ocr_disagreement_chapter,chapter26,data/structured/chapter26_021.json,1,discussion,,,"Confounding the issue of new mutations is the appearance of homozygotes involving recessive alleles that were initially present at a low frequency. If a recessive allele is present as a single copy, the expected time (conditional on it not being lost by dri...",,,,,,
S0144,ocr_disagreement_chapter,chapter4,data/structured/chapter4_003.json,2,derivation,,,"Summing over these two sources of variance, for sites in stochastic drift-mutation equilibrium, the expected total variance of heterozygosity-based estimates of $ \theta $ is [[SEE_FORMULA:4.2]]",,,,,,
S0145,ocr_disagreement_chapter,chapter13,data/structured/chapter13_012.json,0,discussion,,,Accuracy (and hence response) can also be increased by using designs that reduce environmental noise. One approach is Gardner's (1961) method of stratified mass selection: a population is stratified into a number of blocks (potentially representing differen...,,,,,,
S0146,ocr_disagreement_chapter,chapter15,data/structured/chapter15_012.json,9,derivation,,,"How much of this response is permanent? Suppose selection ends at generation $ t $, and suppose we denote by $ \tau $ the number of generations since selection was stopped. Iterating Equation 15.25 with $ S(t) = S $, $ S(t + \tau) = 0 $ for $ \tau \geq 1 $...",,,,,,
S0147,ocr_disagreement_chapter,chapter28,data/structured/chapter28_007.json,4,discussion,,,"Larger values of $ V_s $ correspond to weaker selection, so (as expected) variation in the phenotype around a genotypic value weakens the strength of selection ($ V_s > \omega^2 $). $ V_s $ is a central parameter in the maintenance-of-variation literature,...",,,,,,
S0148,ocr_disagreement_chapter,chapter23,data/structured/chapter23_012.json,7,proposition,,,"[[TABLE:23.3]] shows that $ S_1 $ and $ S_{1,2} $ selection are superior to the other approaches that were listed (under the assumption of no dominance and roughly equal family variances among the different approaches). While we have not included comparison...",,,,,,
S0149,ocr_disagreement_chapter,chapter22,data/structured/chapter22_009.json,0,derivation,,,"If we assume (for now) that the group members are unrelated, then $ \sigma(P_{d_i}, P_{s_j}) = 0 $. For a group of size $ n $, Equation 22.5a reduces to [[SEE_FORMULA:22.5b]] [[SEE_FORMULA:22.5c]] [[SEE_FORMULA:22.5d]] where $ e $ is given by Equation 22.1c...",,,,,,
S0150,ocr_disagreement_chapter,chapter10,data/structured/chapter10_034.json,0,discussion,,,"Detecting selection using molecular data is a major growth industry and will continue to accelerate as whole-genome sequencing becomes increasingly faster and cheaper. As the last two chapters indicate, there is an enormous amount of statistical machinery p...",,,,,,
